Year,Sports,Country,individual,team,ind_total,team_total,total,ind_ratio,team_ratio
1924,Biathlon,Finland,1,,3,,3,0.33,0
1924,Biathlon,France,1,,3,,3,0.33,0
1924,Biathlon,Switzerland,1,,3,,3,0.33,0
1924,Bobsleigh,Belgium,,1,,3,3,0,0.33
1924,Bobsleigh,Switzerland,,1,,3,3,0,0.33
1924,Bobsleigh,United Kingdom,,1,,3,3,0,0.33
1924,Curling,France,,1,,3,3,0,0.33
1924,Curling,Sweden,,1,,3,3,0,0.33
1924,Curling,United Kingdom,,1,,3,3,0,0.33
1924,Ice Hockey,Canada,,1,,3,3,0,0.33
1924,Ice Hockey,United Kingdom,,1,,3,3,0,0.33
1924,Ice Hockey,United States,,1,,3,3,0,0.33
1924,Skating,Austria,2,1,22,3,25,0.09,0.33
1924,Skating,Finland,8,1,22,3,25,0.36,0.33
1924,Skating,France,,1,22,3,25,0,0.33
1924,Skating,Norway,7,,22,3,25,0.32,0
1924,Skating,Sweden,1,,22,3,25,0.05,0
1924,Skating,Switzerland,1,,22,3,25,0.05,0
1924,Skating,United Kingdom,1,,22,3,25,0.05,0
1924,Skating,United States,2,,22,3,25,0.09,0
1924,Skiing,Finland,1,,12,,12,0.08,0
1924,Skiing,Norway,10,,12,,12,0.83,0
1924,Skiing,United States,1,,12,,12,0.08,0
1928,Bobsleigh,Germany,,1,3,3,6,0,0.33
1928,Bobsleigh,United Kingdom,1,,3,3,6,0.33,0
1928,Bobsleigh,United States,2,2,3,3,6,0.67,0.67
1928,Ice Hockey,Canada,,1,,3,3,0,0.33
1928,Ice Hockey,Sweden,,1,,3,3,0,0.33
1928,Ice Hockey,Switzerland,,1,,3,3,0,0.33
1928,Skating,Austria,2,2,17,3,20,0.12,0.67
1928,Skating,Belgium,1,,17,3,20,0.06,0
1928,Skating,Finland,4,,17,3,20,0.24,0
1928,Skating,France,,1,17,3,20,0,0.33
1928,Skating,Norway,7,,17,3,20,0.41,0
1928,Skating,Sweden,1,,17,3,20,0.06,0
1928,Skating,United States,2,,17,3,20,0.12,0
1928,Skiing,Czechoslovakia,1,,12,,12,0.08,0
1928,Skiing,Norway,8,,12,,12,0.67,0
1928,Skiing,Sweden,3,,12,,12,0.25,0
1932,Bobsleigh,Germany,,1,,6,6,0,0.17
1932,Bobsleigh,Switzerland,,1,,6,6,0,0.17
1932,Bobsleigh,United States,,4,,6,6,0,0.67
1932,Ice Hockey,Canada,,1,,3,3,0,0.33
1932,Ice Hockey,Germany,,1,,3,3,0,0.33
1932,Ice Hockey,United States,,1,,3,3,0,0.33
1932,Skating,Austria,2,,18,3,21,0.11,0
1932,Skating,Canada,6,,18,3,21,0.33,0
1932,Skating,France,,1,18,3,21,0,0.33
1932,Skating,Hungary,,1,18,3,21,0,0.33
